Sprite|Position|Nickname|Species|Nature|Gender|ESV|HP_Type|Ability|Move1|Move2|Move3|Move4|HeldItem|HP|ATK|DEF|SPA|SPD|SPE|MetLoc|EggLoc|Ball|OT|Version|OTLang|Legal|EC|PID|HP_IV|ATK_IV|DEF_IV|SPA_IV|SPD_IV|SPE_IV|EXP|Level|HP_EV|ATK_EV|DEF_EV|SPA_EV|SPD_EV|SPE_EV|Cool|Beauty|Cute|Smart|Tough|Sheen|Markings|NotOT|AbilityNum|GenderFlag|Form|PKRS_Strain|PKRS_Days|MetLevel|OT_Gender|FatefulFlag|IsEgg|IsNicknamed|IsShiny|TID|SID|TSV|Move1_PP|Move2_PP|Move3_PP|Move4_PP|Move1_PPUp|Move2_PPUp|Move3_PPUp|Move4_PPUp|Relearn1|Relearn2|Relearn3|Relearn4|Checksum|Friendship|Egg_Year|Egg_Month|Egg_Day|Met_Year|Met_Month|Met_Day
|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-01: 187 - Grass ass - 7BFF6F972C48.pk4|Grass ass|Hoppip|Careful|F|2171|Grass|Chlorophyll|Splash|Synthesis|(None)|(None)|(None)|21|9|9|9|14|11|Route 32|(None)|Poké Ball|Nuz|HeartGold|English|True|6F972C48|6F972C48|24|13|0|30|31|9|179|6|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|6|0|False|False|True|False|16959|32529|1957|40|5|0|0|0|0|0|0|(None)|(None)|(None)|(None)|31743|70|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-02: 074 - RIP - 127035310A75.pk4|RIP|Geodude|Naive|F|2024|Rock|Sturdy|Mud Sport|Rock Polish|Rock Throw|Magnitude|(None)|42|30|38|16|14|14|Safari Zone|(None)|Safari Ball|Nuz|HeartGold|English|True|35310A75|35310A75|21|1|10|9|10|14|2535|16|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|16|0|False|False|True|False|16959|32529|1957|15|20|15|30|0|0|0|0|(None)|(None)|(None)|(None)|4720|70|1|1|1|2021|4|18
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-03: 220 - MR PIGGY - B3712BCE4F72.pk4|MR PIGGY|Swinub|Quiet|F|3223|Electric|Oblivious|Powder Snow|Mud-Slap|Endure|Mud Bomb|(None)|56|31|22|20|23|25|Ice Path|(None)|Ultra Ball|Nuz|HeartGold|English|True|2BCE4F72|2BCE4F72|23|25|5|8|27|13|11576|21|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|21|0|False|False|True|False|16959|32529|1957|25|10|10|10|0|0|0|0|(None)|(None)|(None)|(None)|45937|70|1|1|1|2021|4|18
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-04: 226 - IRWIN - 01D36B42BC79.pk4|IRWIN|Mantine|Serious|F|6887|Bug|Water Absorb|Supersonic|Bubble Beam|Headbutt|Whirlpool|(None)|57|22|36|37|62|32|Route 41|(None)|Great Ball|Nuz|HeartGold|English|True|6B42BC79|6B42BC79|19|14|28|9|22|7|8573|19|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|19|0|False|False|True|False|16959|32529|1957|20|20|15|15|0|0|0|0|(None)|(None)|(None)|(None)|467|78|1|1|1|2021|4|16
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-05: 170 - BEAN - E5F89F730AED.pk4|BEAN|Chinchou|Docile|M|4787|Steel|Illuminate|Flail|Water Gun|Confuse Ray|Spark|(None)|65|24|22|29|30|33|Route 27|(None)|Net Ball|Nuz|HeartGold|English|True|9F730AED|9F730AED|28|23|13|9|14|9|10000|20|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|20|0|False|False|True|False|16959|32529|1957|15|25|10|20|0|0|0|0|(None)|(None)|(None)|(None)|58872|70|1|1|1|2021|4|19
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-06: 043 - THEODDONE - 41CB87ADEC7A.pk4|THEODDONE|Oddish|Lonely|F|3450|Ground|Chlorophyll|Absorb|Sweet Scent|(None)|(None)|(None)|22|13|10|14|14|9|Ilex Forest|(None)|Poké Ball|Nuz|HeartGold|English|True|87ADEC7A|87ADEC7A|22|26|14|5|30|20|179|6|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|6|0|False|False|True|False|16959|32529|1957|25|20|0|0|0|0|0|0|(None)|(None)|(None)|(None)|16843|70|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-07: 250 - CHICKENWIN - 5152BD841C8A.pk4|CHICKENWIN|Ho-Oh|Relaxed|-|5153|Water|Pressure|Extrasensory|Sunny Day|Fire Blast|Sacred Fire|Sacred Ash|161|133|94|112|154|86|Bell Tower|(None)|Master Ball|Nuz|HeartGold|English|True|BD841C8A|BD841C8A|24|26|2|18|25|23|113906|45|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|2|0|0|0|45|0|False|False|True|False|16959|32529|1957|30|5|5|5|0|0|0|0|(None)|(None)|(None)|(None)|20818|0|1|1|1|2021|4|19
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-08: 017 - Weenie - 64338DD885FC.pk4|Weenie|Pidgeotto|Relaxed|M|0260|Fighting|Keen Eye|Tackle|Sand Attack|Gust|Quick Attack|(None)|52|31|27|26|26|31|Route 29|(None)|Poké Ball|Nuz|HeartGold|English|True|8DD885FC|8DD885FC|6|23|4|16|18|20|4055|18|17|12|10|6|9|26|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|2|0|False|False|True|False|16959|32529|1957|35|15|35|30|0|0|0|0|(None)|(None)|(None)|(None)|25651|216|1|1|1|2021|4|14
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-09: 096 - BANANA - ADC23AAAA49F.pk4|BANANA|Drowzee|Mild|M|5062|Bug|Forewarn|Pound|Hypnosis|Disable|Confusion|(None)|32|16|13|16|25|14|Route 34|(None)|Poké Ball|Nuz|HeartGold|English|True|3AAAA49F|3AAAA49F|0|15|19|21|26|6|1000|10|0|0|0|0|0|0|0|0|0|0|0|0|0|N/A|-1|0|0|0|0|10|0|False|False|True|False|16959|32529|1957|35|20|20|25|0|0|0|0|(None)|(None)|(None)|(None)|44482|70|1|1|1|2021|4|15
|4780 - Pokemon HeartGold (U)(Xenophobia).dsv @ [01] (BOX 1)-10: 012 - Buggy - 37DA3D698F52.pk4|Buggy|Butterfree|Gentle|F|5703|Poison|Compound Eyes|Sleep Powder|Stun Spore|Poison Powder|Gust|(None)|60|24|25|41|45|40|Route 30|(None)|Poké Ball|Nuz|HeartGold|English|True|3D698F52|3D698F52|28|5|16|22|16|27|8165|20|12|14|1|6|35|39|0|0|0|0|0|0|0|N/A|-1|1|0|0|0|4|0|False|False|True|False|16959|32529|1957|15|30|35|35|0|0|0|0|(None)|(None)|(None)|(None)|14298|241|1|1|1|2021|4|14
